,Rank,UGDS,INSTNM,GRAD_DEBT_MDN,GRAD_DEBT_MDN10YR,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P10,NPT4_PUB,NPT4_PRIV,OVERALL_YR6_N,UG,10%_cut,20%_cut,50%_cut,calculation,debt,earning_average,net_tuition,graduation_rate
478,568,7920.0,Bloomsburg University of Pennsylvania,26000,269.83601499104,38200,39800,42600,48100,19539.0,0.0,2970,0.0,8,4,1,-0.1556087559402724,26000,168700,19539.0,0.375
539,644,1695.0,Carson-Newman University,21250,220.539050713831,33900,32400,38000,41300,0.0,18906.0,409,0.0,9,4,1,-0.15564663207082868,21250,145600,18906.0,0.24129793510324485
279,52,2046.0,Carleton College,13834,143.573516591771,43400,47500,52500,67900,0.0,30210.0,200,0.0,0,0,0,-0.15608207511507763,13834,211300,30210.0,0.09775171065493646
540,511,1535.0,Christian Brothers University,26975,279.954865553204,36600,41600,44400,50000,0.0,10829.0,322,0.0,7,3,1,-0.1560908644489883,26975,172600,10829.0,0.20977198697068403
336,341,5262.0,Ramapo College of New Jersey,23079,239.520976537624,43100,44000,49700,56300,20216.0,0.0,1247,0.0,5,2,1,-0.15633888565023213,23079,193100,20216.0,0.23698213606993537
592,136,19679.0,James Madison University,20500,212.755319512166,46100,48700,53200,63300,21281.0,0.0,2600,0.0,2,1,0,-0.15692565145006832,20500,211300,21281.0,0.13212053458000914
436,313,25973.0,University of Cincinnati-Main Campus,21750,225.728204848274,39600,38500,44400,49700,22682.0,0.0,7351,0.0,4,2,0,-0.15698803311299503,21750,172200,22682.0,0.2830246794748393
278,352,2723.0,Bethel University,21500,223.133627781052,46100,44600,49600,52600,0.0,25604.0,807,0.0,5,2,1,-0.1571632919882916,21500,192900,25604.0,0.29636430407638636
536,471,9314.0,South Dakota State University,24250,251.673975520489,41100,40400,45600,50200,19503.0,0.0,2689,0.0,7,3,1,-0.15751419585506005,24250,177300,19503.0,0.28870517500536824
67,30,19548.0,University of Southern California,19500,202.37701124328,61400,68800,76900,88800,0.0,30453.0,2489,0.0,0,0,0,-0.15758842362677314,19500,295900,30453.0,0.12732760384694086
424,336,14076.0,University of North Carolina Wilmington,20500,212.755319512166,36900,36700,41900,46600,18910.0,0.0,2458,0.0,5,2,1,-0.15767051618139694,20500,162100,18910.0,0.17462347257743677
90,147,19060.0,University of Delaware,24388,253.106182061596,48100,49600,56200,64000,16127.0,0.0,2645,0.0,2,1,0,-0.1578038017280453,24388,217900,16127.0,0.1387722980062959
595,523,19194.0,Old Dominion University,24385,253.075047136789,38300,41000,44000,48700,15680.0,0.0,4207,0.0,8,4,1,-0.1578851803978522,24385,172000,15680.0,0.21918307804522247
184,80,1683.0,Grinnell College,17000,176.431240571064,36700,41200,45800,61000,0.0,25358.0,248,0.0,1,0,0,-0.15795889760855159,17000,184700,25358.0,0.1473559120617944
310,517,16948.0,Missouri State University-Springfield,22688,235.463058004489,34300,35000,40700,44500,16526.0,0.0,3602,0.0,7,3,1,-0.15801421185394285,22688,154500,16526.0,0.21253245220675007
80,602,1940.0,Western Colorado University,22980,238.493524019004,32500,32500,35800,43400,17200.0,0.0,497,0.0,9,4,1,-0.15838995452104465,22980,144200,17200.0,0.25618556701030926
350,458,2191.0,Canisius College,25000,259.457706722154,37900,40500,44700,51100,0.0,20103.0,724,0.0,7,3,1,-0.15840047607239538,25000,174200,20103.0,0.33044272021907806
221,543,1063.0,Hood College,25000,259.457706722154,37500,40400,41900,49400,0.0,22064.0,407,0.0,8,4,1,-0.15842669228232553,25000,169200,22064.0,0.38287864534336785
432,591,13729.0,Bowling Green State University-Main Campus,25251,262.062662097644,33500,35600,39300,45300,18456.0,0.0,4703,0.0,9,4,1,-0.1587077354017419,25251,153700,18456.0,0.3425595454876539
109,90,10873.0,University of Miami,17511,181.734556096465,54500,56300,64900,72900,0.0,30841.0,1683,0.0,1,0,0,-0.15885702436246896,17511,248600,30841.0,0.1547870872804194
421,485,23939.0,University of North Carolina at Charlotte,23000,238.701090184382,38600,39200,44800,50300,16943.0,0.0,4571,0.0,7,3,1,-0.15931883582471978,23000,172900,16943.0,0.19094364843978445
444,536,985.0,Marietta College,27000,280.214323259926,45400,42800,46500,57700,0.0,19793.0,348,0.0,8,4,1,-0.15942767443482625,27000,192400,19793.0,0.3532994923857868
537,493,6228.0,University of South Dakota,25000,259.457706722154,37100,38700,44500,49500,18075.0,0.0,1804,0.0,7,3,1,-0.1597334850406953,25000,169800,18075.0,0.2896596017983301
72,146,29753.0,University of Colorado Boulder,19500,202.37701124328,42700,43900,50200,59700,21510.0,0.0,3475,0.0,2,1,0,-0.1606007072054104,19500,196500,21510.0,0.11679494504755823
314,514,803.0,William Jewell College,25000,259.457706722154,43600,41500,45400,51300,0.0,22556.0,289,0.0,7,3,1,-0.16063249673329058,25000,181800,22556.0,0.35990037359900373
66,552,1842.0,Vanguard University of Southern California,25000,259.457706722154,40700,35500,44600,48800,0.0,20292.0,616,0.0,8,4,1,-0.16070376527768676,25000,169600,20292.0,0.3344191096634093
308,259,1579.0,Rockhurst University,23000,238.701090184382,44100,45600,51300,57300,0.0,21973.0,385,0.0,3,1,0,-0.16093436084213905,23000,198300,21973.0,0.24382520582647246
227,229,1538.0,St. Mary's College of Maryland,21500,223.133627781052,38600,41400,44200,55200,20637.0,0.0,306,0.0,3,1,0,-0.16115111487627937,21500,179400,20637.0,0.19895968790637192
525,323,9622.0,College of Charleston,21608,224.254485074092,36400,36800,43100,48700,18783.0,0.0,1835,0.0,4,2,0,-0.16117053555141833,21608,165000,18783.0,0.1907087923508626
300,432,18010.0,Mississippi State University,23000,238.701090184382,37100,40200,43200,47400,16830.0,0.0,3418,0.0,6,3,1,-0.1614605687852536,23000,167900,16830.0,0.1897834536368684
266,589,16157.0,Central Michigan University,27000,280.214323259926,37600,36600,42400,46200,15677.0,0.0,5036,0.0,9,4,1,-0.1620381547320749,27000,162800,15677.0,0.3116915268923686
296,545,3238.0,St Catherine University,26704,277.142344012336,44300,45300,48400,51100,0.0,19131.0,1051,0.0,8,4,1,-0.16205699186893185,26704,189100,19131.0,0.3245830759728227
88,40,2922.0,Wesleyan University,17231,178.828629781177,46400,41100,53500,63400,0.0,26291.0,346,0.0,0,0,0,-0.16256334927040642,17231,204400,26291.0,0.11841204654346338
312,506,2958.0,Webster University,23462,243.495868604607,38200,40100,45000,47900,0.0,22206.0,919,0.0,7,3,1,-0.16287650626164227,23462,171200,22206.0,0.31068289384719405
299,504,3036.0,Mississippi College,24250,251.673975520489,34500,37700,41000,44900,0.0,17192.0,771,0.0,7,3,1,-0.1631006369467714,24250,158100,17192.0,0.25395256916996045
448,302,2144.0,Ohio Northern University,27000,280.214323259926,59600,68300,65600,72600,0.0,22854.0,557,0.0,4,2,0,-0.16310153604253985,27000,266100,22854.0,0.259794776119403
200,308,21746.0,University of Kentucky,23102,239.759677627808,43500,42200,51700,54000,18523.0,0.0,3829,0.0,4,2,0,-0.16339289394088014,23102,191400,18523.0,0.17607835923848064
74,94,4906.0,Colorado School of Mines,25000,259.457706722154,74700,72900,80700,95600,25781.0,0.0,679,0.0,1,0,0,-0.16345589809560668,25000,323900,25781.0,0.138401956787607
470,261,24787.0,Oregon State University,22500,233.511936049938,42700,43000,49000,56700,19969.0,0.0,4595,0.0,3,1,0,-0.16369537398965994,22500,191400,19969.0,0.18537943276717633
630,590,21027.0,University of Wisconsin-Milwaukee,25000,259.457706722154,38500,38700,43000,48200,17661.0,0.0,5617,0.0,9,4,1,-0.16380345942059008,25000,168400,17661.0,0.26713273410377136
624,535,787.0,Ripon College,27000,280.214323259926,34400,37500,41700,51300,0.0,18397.0,279,0.0,8,4,1,-0.16509547486516804,27000,164900,18397.0,0.3545108005082592
561,382,1909.0,University of St Thomas,22250,230.917358982717,42400,44300,48800,59600,0.0,18467.0,249,0.0,5,2,1,-0.1652590593057093,22250,195100,18467.0,0.13043478260869565
445,185,17038.0,Miami University-Oxford,23250,241.295667251603,40800,42500,48800,55400,21758.0,0.0,4283,0.0,2,1,0,-0.1653794207030192,23250,187500,21758.0,0.2513792698673553
18,416,5545.0,Azusa Pacific University,24500,254.268552587711,48300,48200,52500,55900,0.0,25451.0,1882,0.0,6,3,1,-0.1657600171579426,24500,204900,25451.0,0.339404869251578
349,50,2557.0,Barnard College,17500,181.620394705508,52800,51200,63800,69700,0.0,29184.0,286,0.0,0,0,0,-0.16595629927077088,17500,237500,29184.0,0.11184982401251467
532,201,26300.0,University of South Carolina-Columbia,22724,235.836677102169,43900,43100,49900,53900,19219.0,0.0,4431,0.0,3,1,0,-0.16608554381110252,22724,190800,19219.0,0.16847908745247148
