,PCIP01,PCIP04,PCIP05,PCIP26,PCIP52,PCIP09,PCIP10,PCIP11,PCIP46,PCIP13,PCIP15,PCIP14,PCIP23,PCIP19,PCIP16,PCIP51,PCIP54,PCIP43,PCIP22,PCIP24,PCIP25,PCIP27,PCIP47,PCIP29,PCIP30,PCIP03,PCIP31,PCIP12,PCIP38,PCIP40,PCIP48,PCIP42,PCIP44,PCIP41,PCIP45,PCIP39,PCIP49,PCIP50,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,income
2619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47500,54100,57200,62000,60200,281000
2620,0.0449,0.0,0.0,0.1474,0.3013,0.0128,0.0,0.0,0.0,0.0833,0.0,0.0,0.0128,0.0,0.0256,0.0064,0.0064,0.0769,0.0321,0.0,0.0,0.0192,0.0,0.0,0.0,0.0,0.0577,0.0,0.0,0.0192,0.0,0.1154,0.0,0.0,0.0064,0.0,0.0,0.0321,32500,31500,35100,33700,40600,173400
2627,0.0,0.0,0.0,0.0442,0.1549,0.0,0.0,0.0,0.0,0.0885,0.0,0.0,0.0133,0.0,0.0,0.3982,0.0088,0.0664,0.0,0.0133,0.0,0.0,0.0,0.0,0.0708,0.0044,0.0,0.0,0.0044,0.0,0.0,0.0442,0.0664,0.0,0.0088,0.0,0.0,0.0133,36500,36500,38000,37800,41300,190100
2628,0.0,0.0,0.0,0.059000000000000004,0.3475,0.0459,0.0033,0.0098,0.0,0.0656,0.0,0.0,0.0098,0.0,0.0,0.2,0.0131,0.0066,0.0,0.0066,0.0,0.0197,0.0,0.0,0.0,0.0033,0.059000000000000004,0.0,0.0,0.0066,0.0,0.0328,0.0426,0.0,0.0,0.0459,0.0,0.023,39800,40700,44200,43900,48100,216700
2629,0.0,0.0,0.0039,0.0392,0.1373,0.0588,0.0,0.0275,0.0,0.0588,0.0,0.2824,0.0275,0.0,0.0039,0.0549,0.0157,0.0,0.0,0.0118,0.0,0.0118,0.0,0.0,0.0078,0.0471,0.0353,0.0,0.0,0.0784,0.0,0.0314,0.0,0.0,0.0549,0.0,0.0,0.0118,45400,42800,46500,49900,57700,242300
2634,0.0,0.0,0.0,0.0,0.1172,0.0026,0.0,0.0729,0.0,0.013000000000000001,0.1693,0.0,0.0208,0.0,0.0,0.1172,0.0,0.0781,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0052,0.0,0.0,0.0,0.0,0.0026,40800,42500,48800,49400,55400,236900
2635,0.0,0.0,0.0,0.0,0.1389,0.0046,0.0,0.0556,0.0,0.0278,0.125,0.0,0.0278,0.0,0.0,0.1713,0.0,0.08800000000000001,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0093,0.0,0.0,0.0,0.0,0.0093,40800,42500,48800,49400,55400,236900
2636,0.0,0.016,0.0101,0.0612,0.2735,0.0883,0.0,0.0158,0.0,0.0792,0.0052,0.0718,0.0207,0.0062,0.0101,0.0409,0.0079,0.0,0.0,0.0,0.0,0.0185,0.0,0.0,0.0059,0.0,0.0641,0.0,0.0032,0.0141,0.0,0.0461,0.017,0.0,0.1058,0.0,0.0,0.0185,40800,42500,48800,49400,55400,236900
2639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54900,53100,56700,55600,58100,278400
2640,0.0,0.0,0.0021,0.087,0.1805,0.0403,0.0,0.017,0.0,0.10400000000000001,0.0,0.0531,0.0234,0.0106,0.0467,0.0764,0.0212,0.0382,0.0,0.0,0.0,0.0212,0.0,0.0,0.0106,0.0085,0.1295,0.0,0.0042,0.017,0.0,0.0382,0.0021,0.0,0.0446,0.0,0.0,0.0234,36600,39600,44600,42500,48600,211900
2641,0.0,0.0,0.0,0.094,0.2846,0.0235,0.0,0.0287,0.0,0.0914,0.0,0.0157,0.0078,0.0,0.0,0.1227,0.0078,0.0339,0.0,0.0078,0.0,0.0104,0.0,0.0,0.0,0.0,0.0235,0.0,0.0078,0.0026,0.0,0.0366,0.1018,0.0,0.0052,0.0313,0.0,0.0627,39300,40200,45000,42400,50000,216900
2642,0.0,0.0,0.0,0.0688,0.1822,0.0243,0.0,0.004,0.0,0.0931,0.0,0.0,0.0445,0.0,0.0,0.1862,0.0081,0.0,0.0121,0.0162,0.0,0.0081,0.0,0.0,0.0283,0.0,0.0688,0.0,0.004,0.0162,0.0,0.081,0.0526,0.0,0.0607,0.0,0.0,0.0405,36100,38800,40600,41100,44600,201200
